date,topic,topic_name,post_count,previous_post_count,growth,growth_rate,trend,next_day_trend,previous_growth_rate,rolling_3day_avg,momentum_3day,day_of_week
2025-05-05,2,ChatGPT,9,10.0,-1.0,-0.1,Stable,Rising,-0.16666666666666666,10.0,-3.0,0
2025-05-06,2,ChatGPT,11,9.0,2.0,0.2222222222222222,Rising,Stable,-0.1,10.333333333333334,1.0,1
2025-05-07,2,ChatGPT,11,11.0,0.0,0.0,Stable,Rising,0.2222222222222222,10.0,-1.0,2
2025-05-08,2,ChatGPT,14,11.0,3.0,0.2727272727272727,Rising,Stable,0.0,10.333333333333334,1.0,3
2025-05-09,2,ChatGPT,13,14.0,-1.0,-0.07142857142857142,Stable,Stable,0.2727272727272727,12.0,5.0,4
2025-05-10,2,ChatGPT,12,13.0,-1.0,-0.07692307692307693,Stable,Falling,-0.07142857142857142,12.666666666666666,2.0,5
2025-05-11,2,ChatGPT,9,12.0,-3.0,-0.25,Falling,Rising,-0.07692307692307693,13.0,1.0,6
2025-05-12,2,ChatGPT,14,9.0,5.0,0.5555555555555556,Rising,Falling,-0.25,11.333333333333334,-5.0,0
2025-05-13,2,ChatGPT,10,14.0,-4.0,-0.2857142857142857,Falling,Stable,0.5555555555555556,11.666666666666666,1.0,1
2025-05-14,2,ChatGPT,9,10.0,-1.0,-0.1,Stable,,-0.2857142857142857,11.0,-2.0,2
2025-04-30,3,GPT Models,3,,,,Unknown,Rising,,,,2
2025-05-01,3,GPT Models,13,3.0,10.0,3.3333333333333335,Rising,Falling,,,,3
2025-05-02,3,GPT Models,5,13.0,-8.0,-0.6153846153846154,Falling,Rising,3.3333333333333335,,,4
2025-05-03,3,GPT Models,9,5.0,4.0,0.8,Rising,Falling,-0.6153846153846154,7.0,,5
2025-05-04,3,GPT Models,8,9.0,-1.0,-0.1111111111111111,Falling,Stable,0.8,9.0,6.0,6
2025-05-05,3,GPT Models,8,8.0,0.0,0.0,Stable,Falling,-0.1111111111111111,7.333333333333333,-5.0,0
2025-05-06,3,GPT Models,7,8.0,-1.0,-0.125,Falling,Rising,0.0,8.333333333333334,3.0,1
2025-05-07,3,GPT Models,8,7.0,1.0,0.14285714285714285,Rising,Rising,-0.125,7.666666666666667,-2.0,2
2025-05-08,3,GPT Models,18,8.0,10.0,1.25,Rising,Falling,0.14285714285714285,7.666666666666667,0.0,3
2025-05-09,3,GPT Models,9,18.0,-9.0,-0.5,Falling,Falling,1.25,11.0,10.0,4
2025-05-10,3,GPT Models,6,9.0,-3.0,-0.3333333333333333,Falling,Rising,-0.5,11.666666666666666,2.0,5
2025-05-11,3,GPT Models,12,6.0,6.0,1.0,Rising,Falling,-0.3333333333333333,11.0,-2.0,6
2025-05-12,3,GPT Models,10,12.0,-2.0,-0.16666666666666666,Falling,Stable,1.0,9.0,-6.0,0
2025-05-13,3,GPT Models,10,10.0,0.0,0.0,Stable,Stable,-0.16666666666666666,9.333333333333334,1.0,1
2025-05-14,3,GPT Models,9,10.0,-1.0,-0.1,Stable,,0.0,10.666666666666666,4.0,2
2025-04-30,4,OpenAI Company,1,,,,Unknown,Rising,,,,2
2025-05-01,4,OpenAI Company,9,1.0,8.0,8.0,Rising,Rising,,,,3
2025-05-02,4,OpenAI Company,12,9.0,3.0,0.3333333333333333,Rising,Falling,8.0,,,4
2025-05-03,4,OpenAI Company,6,12.0,-6.0,-0.5,Falling,Falling,0.3333333333333333,7.333333333333333,,5
2025-05-04,4,OpenAI Company,5,6.0,-1.0,-0.16666666666666666,Falling,Falling,-0.5,9.0,5.0,6
2025-05-05,4,OpenAI Company,3,5.0,-2.0,-0.4,Falling,Rising,-0.16666666666666666,7.666666666666667,-4.0,0
2025-05-06,4,OpenAI Company,22,3.0,19.0,6.333333333333333,Rising,Falling,-0.4,4.666666666666667,-9.0,1
2025-05-07,4,OpenAI Company,9,22.0,-13.0,-0.5909090909090909,Falling,Falling,6.333333333333333,10.0,16.0,2
2025-05-08,4,OpenAI Company,5,9.0,-4.0,-0.4444444444444444,Falling,Rising,-0.5909090909090909,11.333333333333334,4.0,3
2025-05-09,4,OpenAI Company,9,5.0,4.0,0.8,Rising,Falling,-0.4444444444444444,12.0,2.0,4
2025-05-10,4,OpenAI Company,3,9.0,-6.0,-0.6666666666666666,Falling,Stable,0.8,7.666666666666667,-13.0,5
2025-05-11,4,OpenAI Company,3,3.0,0.0,0.0,Stable,Rising,-0.6666666666666666,5.666666666666667,-6.0,6
2025-05-12,4,OpenAI Company,7,3.0,4.0,1.3333333333333333,Rising,Falling,0.0,5.0,-2.0,0
2025-05-13,4,OpenAI Company,5,7.0,-2.0,-0.2857142857142857,Falling,Stable,1.3333333333333333,4.333333333333333,-2.0,1
2025-05-14,4,OpenAI Company,5,5.0,0.0,0.0,Stable,,-0.2857142857142857,5.0,2.0,2
2025-04-30,5,Open-Source & Reasoning Models,9,,,,Unknown,Rising,,,,2
2025-05-01,5,Open-Source & Reasoning Models,34,9.0,25.0,2.7777777777777777,Rising,Falling,,,,3
2025-05-02,5,Open-Source & Reasoning Models,16,34.0,-18.0,-0.5294117647058824,Falling,Rising,2.7777777777777777,,,4
2025-05-03,5,Open-Source & Reasoning Models,26,16.0,10.0,0.625,Rising,Falling,-0.5294117647058824,19.666666666666668,,5
2025-05-04,5,Open-Source & Reasoning Models,20,26.0,-6.0,-0.23076923076923078,Falling,Rising,0.625,25.333333333333332,17.0,6
2025-05-05,5,Open-Source & Reasoning Models,28,20.0,8.0,0.4,Rising,Stable,-0.23076923076923078,20.666666666666668,-14.0,0
2025-05-06,5,Open-Source & Reasoning Models,26,28.0,-2.0,-0.07142857142857142,Stable,Falling,0.4,24.666666666666668,12.0,1
2025-05-07,5,Open-Source & Reasoning Models,23,26.0,-3.0,-0.11538461538461539,Falling,Falling,-0.07142857142857142,24.666666666666668,0.0,2
2025-05-08,5,Open-Source & Reasoning Models,15,23.0,-8.0,-0.34782608695652173,Falling,Rising,-0.11538461538461539,25.666666666666668,3.0,3
2025-05-09,5,Open-Source & Reasoning Models,24,15.0,9.0,0.6,Rising,Falling,-0.34782608695652173,21.333333333333332,-13.0,4
2025-05-10,5,Open-Source & Reasoning Models,20,24.0,-4.0,-0.16666666666666666,Falling,Stable,0.6,20.666666666666668,-2.0,5
2025-05-11,5,Open-Source & Reasoning Models,21,20.0,1.0,0.05,Stable,Rising,-0.16666666666666666,19.666666666666668,-3.0,6
2025-05-12,5,Open-Source & Reasoning Models,24,21.0,3.0,0.14285714285714285,Rising,Stable,0.05,21.666666666666668,6.0,0
2025-05-13,5,Open-Source & Reasoning Models,23,24.0,-1.0,-0.041666666666666664,Stable,Rising,0.14285714285714285,21.666666666666668,0.0,1
2025-05-14,5,Open-Source & Reasoning Models,29,23.0,6.0,0.2608695652173913,Rising,,-0.041666666666666664,22.666666666666668,3.0,2
2025-04-30,6,Local LLM Deployment & Hardware,11,,,,Unknown,Rising,,,,2
2025-05-01,6,Local LLM Deployment & Hardware,38,11.0,27.0,2.4545454545454546,Rising,Falling,,,,3
2025-05-02,6,Local LLM Deployment & Hardware,31,38.0,-7.0,-0.18421052631578946,Falling,Falling,2.4545454545454546,,,4
2025-05-03,6,Local LLM Deployment & Hardware,25,31.0,-6.0,-0.1935483870967742,Falling,Falling,-0.18421052631578946,26.666666666666668,,5
2025-05-04,6,Local LLM Deployment & Hardware,12,25.0,-13.0,-0.52,Falling,Rising,-0.1935483870967742,31.333333333333332,14.0,6
2025-05-05,6,Local LLM Deployment & Hardware,31,12.0,19.0,1.5833333333333333,Rising,Falling,-0.52,22.666666666666668,-26.0,0
2025-05-06,6,Local LLM Deployment & Hardware,21,31.0,-10.0,-0.3225806451612903,Falling,Falling,1.5833333333333333,22.666666666666668,0.0,1
2025-05-07,6,Local LLM Deployment & Hardware,12,21.0,-9.0,-0.42857142857142855,Falling,Rising,-0.3225806451612903,21.333333333333332,-4.0,2
2025-05-08,6,Local LLM Deployment & Hardware,16,12.0,4.0,0.3333333333333333,Rising,Falling,-0.42857142857142855,21.333333333333332,0.0,3
2025-05-09,6,Local LLM Deployment & Hardware,10,16.0,-6.0,-0.375,Falling,Rising,0.3333333333333333,16.333333333333332,-15.0,4
2025-05-10,6,Local LLM Deployment & Hardware,25,10.0,15.0,1.5,Rising,Falling,-0.375,12.666666666666666,-11.0,5
2025-05-11,6,Local LLM Deployment & Hardware,17,25.0,-8.0,-0.32,Falling,Falling,1.5,17.0,13.0,6
2025-05-12,6,Local LLM Deployment & Hardware,12,17.0,-5.0,-0.29411764705882354,Falling,Stable,-0.32,17.333333333333332,1.0,0
2025-05-13,6,Local LLM Deployment & Hardware,11,12.0,-1.0,-0.08333333333333333,Stable,Rising,-0.29411764705882354,18.0,2.0,1
2025-05-14,6,Local LLM Deployment & Hardware,16,11.0,5.0,0.45454545454545453,Rising,,-0.08333333333333333,13.333333333333334,-14.0,2
2025-04-30,7,AI Industry & Business News,3,,,,Unknown,Rising,,,,2
2025-05-01,7,AI Industry & Business News,10,3.0,7.0,2.3333333333333335,Rising,Rising,,,,3
2025-05-02,7,AI Industry & Business News,12,10.0,2.0,0.2,Rising,Stable,2.3333333333333335,,,4
2025-05-03,7,AI Industry & Business News,12,12.0,0.0,0.0,Stable,Falling,0.2,8.333333333333334,,5
2025-05-04,7,AI Industry & Business News,9,12.0,-3.0,-0.25,Falling,Rising,0.0,11.333333333333334,9.0,6
2025-05-05,7,AI Industry & Business News,17,9.0,8.0,0.8888888888888888,Rising,Stable,-0.25,11.0,-1.0,0
2025-05-06,7,AI Industry & Business News,17,17.0,0.0,0.0,Stable,Falling,0.8888888888888888,12.666666666666666,5.0,1
2025-05-07,7,AI Industry & Business News,12,17.0,-5.0,-0.29411764705882354,Falling,Stable,0.0,14.333333333333334,5.0,2
2025-05-08,7,AI Industry & Business News,13,12.0,1.0,0.08333333333333333,Stable,Falling,-0.29411764705882354,15.333333333333334,3.0,3
2025-05-09,7,AI Industry & Business News,11,13.0,-2.0,-0.15384615384615385,Falling,Falling,0.08333333333333333,14.0,-4.0,4
2025-05-10,7,AI Industry & Business News,4,11.0,-7.0,-0.6363636363636364,Falling,Rising,-0.15384615384615385,12.0,-6.0,5
2025-05-11,7,AI Industry & Business News,9,4.0,5.0,1.25,Rising,Falling,-0.6363636363636364,9.333333333333334,-8.0,6
2025-05-12,7,AI Industry & Business News,7,9.0,-2.0,-0.2222222222222222,Falling,Rising,1.25,8.0,-4.0,0
2025-05-13,7,AI Industry & Business News,10,7.0,3.0,0.42857142857142855,Rising,Stable,-0.2222222222222222,6.666666666666667,-4.0,1
2025-05-14,7,AI Industry & Business News,9,10.0,-1.0,-0.1,Stable,,0.42857142857142855,8.666666666666666,6.0,2
